﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE  TTM(%) (最新季度),PE-TTM(扣非) 2019-12-01 ,PB(不含商誉) 2019-12-01 ,资产负债率  累计(%) (最新季度)
sh,="603883",老百姓,药品流通,14.87,18.1,14.06,13.65,15.81,40.85,16.62,60.3
sz,="300481",濮阳惠成,化学制品,14.86,15.38,14.72,17.42,17.11,32.18,4.86,6.6
sz,="300394",天孚通信,通信设备,14.84,14.39,17.04,17.4,15.73,41.84,5.75,12.17
sh,="603826",坤彩科技,非金属材料与制品,14.84,12.91,23.85,27.85,11.77,47.63,5.28,16.53
sz,="300642",透景生命,生物科技,14.8,18.79,41.04,40.68,14.49,28.16,3.33,5.34
sh,="603590",康辰药业,化学制剂,14.79,42.97,24.6,33.34,12.61,26.16,2.1,13.83
sh,="603956",威派格,专用设备,14.78,16.2,27.61,33.63,13.1,59.8,6.23,18.32
sz,="300674",宇信科技,信息技术服务,14.75,17.27,20.04,10.61,13.67,47.59,5.57,50.77
sz,="002728",特一药业,化学制剂,14.74,11.4,11.21,10.53,14.55,21.06,6.96,51.92
sh,="603208",江山欧派,纸类与林业产品,14.71,15.89,27.61,29.8,19.56,23.35,3.34,48.83
sz,="002911",佛燃股份,燃气公用事业,14.71,21.01,21.42,26.24,14.69,23.79,3.14,49.65
sz,="300258",精锻科技,汽车零配件与设备,14.64,16.09,13.9,11.36,10.2,22,2,34.57
sz,="300445",康斯特,电子设备及服务,14.63,12.36,11.32,14.27,15.23,30.63,4.25,7.67
sh,="603496",恒为科技,通信设备,14.62,16.3,25.37,26.27,11.78,45.13,4.71,17.37
sh,="603345",安井食品,食品,14.62,13.28,19.37,16.82,13.99,49.63,5.39,47.22
sz,="300207",欣旺达,电子设备及服务,14.58,20.81,22.3,20.05,13.62,45.32,4.99,73.62
sz,="300741",华宝股份,食品,14.57,22.29,22.61,19.83,14.54,15.77,2.85,4.78
sh,="601799",星宇股份,汽车零配件与设备,14.55,12.09,13.14,14.39,15.74,35.69,5.01,40.77
sh,="603959",百利科技,建筑与工程,14.55,11.92,15.34,17.68,11.27,32.18,3.61,65.49
sh,="603181",皇马科技,化学原料,14.55,16.58,15.13,12.03,16.43,19.69,2.84,24.52
sz,="200030",富奥B,,14.53,15.22,13.73,11.19,12.63,6.82,0.84,40.44
sz,="000030",富奥股份,汽车零配件与设备,14.53,15.22,13.73,11.19,12.63,10.79,1.31,40.44
sh,="603968",醋化股份,化学制品,14.51,12.53,12.8,12.34,14.25,15.02,1.89,26.41
sz,="300624",万兴科技,计算机软件,14.49,27.71,29.87,28,14.79,64.69,8.29,19.49
sz,="000559",万向钱潮,汽车零配件与设备,14.47,18.99,19.52,19.55,11.03,31.22,2.76,53.87
sz,="300294",博雅生物,生物科技,14.44,15.8,13.74,16.23,13.68,28,4.18,25.09
sh,="600897",厦门空港,交通基本设施,14.43,12.16,12.62,12.73,14.41,12.19,1.7,13.68
sh,="600438",通威股份,农牧渔产品,14.43,16.07,14.38,13.8,16.87,20.96,3.24,59.58
sz,="000732",泰禾集团,住宅地产开发和管理,14.4,11.19,11.96,20.63,16.69,6.52,0.65,84.24
sh,="603368",柳药股份,药品流通,14.33,12.04,11.49,16.81,17.14,12.83,2.54,65
sh,="600229",城市传媒,传媒,14.32,14.83,13.54,15.25,16.08,15.71,1.76,31.97
sh,="603806",福斯特,光电子器件,14.31,12.03,18.81,16.1,17.83,34.33,3.59,14.02
sh,="600066",宇通客车,汽车,14.3,22.15,31.24,30.19,14.63,16.51,1.95,52.04
sz,="000034",神州数码,电子设备及服务,14.27,24.1,19.04,12.12,17.87,19.47,3.33,84.71
sh,="601166",兴业银行,银行,14.27,15.35,17.28,18.89,14.02,6.21,0.83,92.28
sz,="002860",星帅尔,电气部件与设备,14.27,17.26,24.34,23.38,17.7,25.29,3.02,19.51
sh,="603081",大丰实业,专用设备,14.25,18.09,25.52,23.91,14.39,30.85,3.77,49.68
sh,="603278",大业股份,黑色金属,14.25,19.02,27.86,17.89,11.02,18.4,1.55,57.23
sh,="603301",振德医疗,医疗保健设备与用品,14.25,24.43,21.88,50.92,12.37,24.08,2.41,49.25
sz,="002025",航天电器,电子元器件,14.23,13.81,12.71,12.49,13.97,30.36,3.71,32.49
sh,="601298",青岛港,交通基本设施,14.23,15.54,16.25,15.4,13.08,11.9,1.43,38.09
sh,="600018",上港集团,交通基本设施,14.21,17.92,11.38,11.53,15.58,14.05,1.61,36.31
sh,="603766",隆鑫通用,汽车,14.18,15.89,15.47,17.37,14.13,9.45,1.28,39.94
